,Title,Published_date,Views,Favorite,Comments,Month
30,Introduction To Amazon Web Services | AWS Tutorial for Beginners | AWS Training | Edureka Rewind - 6,23-05-2022,3342,0,1,May
31,AWS CloudFormation  | AWS CloudFormation Demo | AWS Tutorial  | Edureka Rewind - 5,23-05-2022,1827,0,1,May
32,Roadmap to Become AWS Cloud Practitioner   | Cloud Computing Careers | Edureka | AWS Rewind- 4,23-05-2022,1375,0,2,May
33,Post Graduate Certification Program in Devops offered by Edureka and Purdue | Edureka,23-05-2022,778,0,1,May
34,ConfigMap in Kubernetes | ConfigMap Demo | DevOps Training | Edureka,23-05-2022,623,0,1,May
35,How Cloud Computing Works  | Cloud Computing | AWS Tutorial | Edureka Rewind - 3,23-05-2022,2899,0,3,May
36,What is Cloud Computing | Cloud Computing Fundamentals | AWS Training | Edureka | AWS Rewind - 2,23-05-2022,2154,0,0,May
37,3 Ways to Avoid Monday Blues | Edureka #Shorts,23-05-2022,1487,0,2,May
38,How to Become a Cloud Architect | Cloud Computing Training | Edureka | Cloud Rewind - 1,23-05-2022,2071,0,1,May
39,Learn AWS Networking Fundamentals in 60 Minutes | AWS VPC | AWS Networking  | Edureka AWS Live,23-05-2022,1211,0,0,May
40,How to become a Digital Marketing Influencer?| Edureka | Digital Marketing Rewind - 7,23-05-2022,1452,0,1,May
41,How to Create a Digital Marketing Strategy? | Digital Marketing Tutorial  | Edureka Rewind - 6,22-05-2022,1771,0,1,May
42,Social Media Marketing Tutorial  |  Social Media Marketing Tools & Tips | Edureka Rewind - 5,22-05-2022,2130,0,1,May
43,What Is Digital Marketing? | Digital Marketing Tutorial | Edureka | Digital Marketing Rewind -4,22-05-2022,2125,0,3,May
44,Azure Import and Export Service  |  Azure Tutorial for Beginners | Edureka | Azure Rewind - 3,22-05-2022,0,0,0,May
45,Azure Active Directory Tutorial  | Build a Pipeline on Azure | Edureka | Azure Rewind - 2,22-05-2022,0,0,0,May
46,Introduction To Azure Kubernetes Service   | Edureka | Azure Rewind - 1,22-05-2022,0,0,0,May
47,"Digital Marketing Career | Jobs, Salary and Future of Digital Marketing | Edureka Rewind - 3",22-05-2022,1369,0,3,May
48,What is SEO | Search Engine Optimization Explained | Edureka | Digital Marketing Rewind -2,22-05-2022,2577,0,2,May
49,Digital Marketing Interview Questions and Answers  | Digital Marketing Training | Edureka Rewind - 1,22-05-2022,1424,0,3,May
50,How to Become a Project Manager | Project Manager Certification | Edureka | PMP Rewind - 7,22-05-2022,2133,0,3,May
51,Top Project Management Certifications You Need to Know in 2021,22-05-2022,2140,0,2,May
52,Project management 101 | What is PMP? | PMP Certification Training | Edureka | PMP Rewind - 5,21-05-2022,2468,0,1,May
53,PMBOK® 7 Tutorial | Project Management Fundamentals | PMBOK® 7 Edition | Edureka | PMP Rewind - 6,21-05-2022,1497,0,1,May
54,How PMP®  will help you Upgrade Your Career | PMP Certification Training | Edureka Rewind - 3,21-05-2022,1479,0,2,May
55,"Project Manager Jobs, Resume & Salary  | Project Manager Salary | Edureka Rewind - 2",21-05-2022,2046,0,2,May
56,What is Gantt Chart | Gantt Charts in Project Management | PMP Certification | Edureka Rewind - 1,21-05-2022,994,0,5,May
57,How to learn DevOps step by step  | DevOps Training | Edureka | DevOps Rewind - 7,21-05-2022,2400,0,2,May
58,Docker Compose | What is Docker Compose | DevOps Training | Edureka Rewind - 6,20-05-2022,1608,0,1,May
59,How to Become a DevOps Engineer?  | DevOps Engineer Roadmap | Edureka | DevOps Rewind - 5,20-05-2022,2070,0,5,May
60,DevOps Lifecycle | Introduction To DevOps | DevOps Tools | What is DevOps? | Edureka Rewind-4,20-05-2022,1908,0,4,May
61,Introduction to Google Cloud Machine Learning | Google Cloud ML Services | Edureka,20-05-2022,1387,0,1,May
62,AWS Certification Roadmap | Which AWS Certification to Choose | AWS Training | Edureka Rewind - 1,20-05-2022,1715,0,0,May
63,AWS SageMaker Tutorial | Introduction To AWS SageMaker | AWS Training | Edureka Rewind - 3,20-05-2022,979,0,0,May
64,AWS API Gateway Tutorial | How to Create REST API With API Gateway | AWS Training | Edureka Rewind-2,20-05-2022,2205,0,1,May
65,Career Transition Series - Episode 8 | Business Analyst & Data Science Transition | Edureka Reviews,20-05-2022,34545,0,1,May
66,AWS Devops for Beginners | AWS DevOps Training | AWS DevOps Integration | Edureka Live,20-05-2022,3823,0,1,May
67,Data Structures & Algorithms in Python| Data Structures in Python | Edureka | Python Rewind- 7,20-05-2022,2214,0,1,May
68,Python Programming Fundamentals | Python Programming | Edureka | Python Rewind - 6,19-05-2022,1767,0,3,May
69,Regular Expressions in Python | Regular Expressions | Python Training | Edureka | Python Rewind - 5,19-05-2022,1456,0,1,May
70,Advanced Python Tutorial | Learn Advanced Python Concepts | Python Training | Edureka Rewind - 4,19-05-2022,3451,0,1,May
71,What is Helm Chart in Kubernetes? | Helm Chart explained | Edureka,19-05-2022,2579,0,4,May
72,How to Avoid Procrastination | Edureka #Shorts,19-05-2022,3495,0,2,May
73,Projects in Google Cloud Platform  | GCP Project Structure | Edureka | GCP Rewind -  7,19-05-2022,3206,0,1,May
74,Google Cloud AI Platform Tutorial | Google Cloud AI Platform   | GCP Training | Edureka Rewind - 6,18-05-2022,1695,0,1,May
75,Google Cloud IAM | Identity & Access Management on GCP  | Edureka | GCP Rewind - 5,18-05-2022,939,0,3,May
76,Google Cloud Networking | Google Cloud VPC  | Google Cloud training | Edureka | GCP Rewind -4,18-05-2022,1498,0,1,May
77,Calculated Fields in Tableau | Tableau Basic Calculations | Edureka,18-05-2022,2099,0,3,May
78,Common Mistakes to Avoid in Job Interview | Edureka #Shorts,18-05-2022,1748,0,5,May
79,Google Compute Engine Tutorial | Google Compute Services Overview | GCP Training | Edureka REwind -3,18-05-2022,1251,0,1,May
80,GCP Interview Questions | Top 50 Google Cloud Interview Questions & Answers  | Edureka Rewind - 2,18-05-2022,3346,0,2,May
81,Google Cloud Certification | Google Cloud Certification path | GCP Certification Training | Rewind 1,18-05-2022,5660,0,1,May
82,Google Cloud Text to Speech API using Python | Text to Speech for Free in Google Cloud| Edureka Live,18-05-2022,3966,0,2,May
83,Angular Forms Tutorial | How to build Forms in Angular | Angular Tutorial  | Edureka Rewind - 7,18-05-2022,1141,0,1,May
84,Angular Projects | Learn How to Build Angular 8 Projects from Scratch | Angular Training | Rewind- 6,17-05-2022,1689,0,1,May
85,Develop Angular Application from Scratch | Angular For Beginners | Edureka | Angular Rewind - 5,17-05-2022,995,0,1,May
86,Angular 8 Data Binding Tutorial | Two Way Data Binding in Angular 8| Edureka Rewind - 4,17-05-2022,1183,0,1,May
87,Actions in Tableau | Tableau Actions | Tableau for Beginners | Edureka,17-05-2022,1884,0,2,May
88,Top 10 Tips To Learn Angular In 2021 | Learn Angular | Angular Tutorial| Edureka Rewind - 2,17-05-2022,2213,0,0,May
89,Angular Interview Questions and Answers | Angular 8 Interview Preparation | Angular | Rewind - 1,17-05-2022,947,0,1,May
90,4 Things You Should Never Say in an Interview | Edureka #Shorts,17-05-2022,3967,0,6,May
91,Angular CRUD Tutorial  | Angular 11 CRUD Application | Angular Tutorial | Edureka Live,17-05-2022,1242,0,0,May
92,Tips to make Interactive Power BI Reports | Edureka | Power BI Rewind - 7,17-05-2022,1344,0,1,May
93,Power BI Certifications   | Power BI Exam Certification  | Edureka | Power BI Rewind -  6,16-05-2022,1200,0,1,May
94,Power BI DAX Tutorial | DAX for Power BI Desktop | Power BI Training | Edureka | Power BI Rewind - 5,16-05-2022,1276,0,1,May
95,What Is Power BI? | Power BI Tutorial | Edureka | Power BI Rewind - 4,16-05-2022,2301,0,4,May
96,How to install linux on VirtualBox | Setup Ubuntu on Windows 10 | Edureka,16-05-2022,2690,0,5,May
97,Data Visualization Using Power BI Desktop | Power BI Desktop Tutorial | Power BI Training | Rewind 3,16-05-2022,3743,0,3,May
98,Power BI Azure Tutorial | Power BI Integration with Azure ML | PowerBI Training |  Rewind - 2,16-05-2022,2446,0,0,May
99,How to create Paginated Reports in Power BI |Power BI Report Builder | | Power BI| Edureka Rewind -1,16-05-2022,1125,0,0,May
100,Learn to Design and Publish Dashboards in Power BI  | Power BI Tutorial | Edureka | Power BI Live,16-05-2022,1720,0,3,May
101,TestNG Annotations in Selenium  | Selenium Tutorial For Beginners | Selenium  | Edureka Rewind - 7,16-05-2022,1314,0,1,May
102,Selenium Crash Course | Selenium Tutorial | Selenium Training | Edureka | Testing Rewind - 6,15-05-2022,2313,0,3,May
103,Selenium with Python Tutorial | Python Selenium | Selenium Training | Edureka | Testing Rewind-5,15-05-2022,1822,0,1,May
104,Page Object Model in Selenium Webdriver  | Page Object Model with Page Factory | Edureka Rewind - 4,15-05-2022,2154,0,1,May
105,What Is Selenium  | Selenium Web driver Basics |  Selenium Training | Edureka Rewind  - 3,15-05-2022,6448,0,4,May
106,Cross Browser Testing Using LambdaTest  | LambdaTest | Selenium Training | Edureka Rewind - 2,15-05-2022,1371,0,2,May
107,How to Perform Database Testing Using Selenium | Selenium Certification Training | Edureka Rewind -1,15-05-2022,1839,0,1,May
108,Top 10 Reasons to Learn Salesforce  | Why Learn Salesforce in 2021 | Edureka | Salesforce Rewind -7,15-05-2022,3354,0,0,May
109,Triggers in Salesforce  | Salesforce Apex Triggers | Edureka | Salesforce Rewind - 6,14-05-2022,1526,0,1,May
110,Workflow in Salesforce   | Salesforce Workflow Rules | Salesforce Training | Edureka Rewind - 5,14-05-2022,601,0,1,May
111,Salesforce Tutorial For Beginners 2 | Salesforce Tutorial- App Builder | Salesforce |Rewind -4,14-05-2022,2599,0,1,May
112,What is Process Builder in Salesforce| Process Builder Salesforce | Salesforce Training |Rewind-3,14-05-2022,1227,0,1,May
113,Salesforce Career Path | Salesforce Career Opportunities | Salesforce Training | Edureka Rewind - 2,14-05-2022,1463,0,1,May
114,How to prepare for Salesforce Admin Certification | Salesforce Training | Edureka Rewind - 1,14-05-2022,1626,0,1,May
115,Tableau Online Tutorial  | What is Tableau Online | Tableau Training | Edureka | Tableau Rewind- 7,14-05-2022,3043,0,1,May
116,Tableau tutorial for beginner -2  | Tableau Training | Tableau Certification | Edureka Rewind - 6,13-05-2022,1113,0,3,May
117,Tableau tutorial for beginner -1  | Tableau Training | Tableau Certification | Edureka Rewind - 4,13-05-2022,1258,0,1,May
118,Python OOPS Concepts | Python OOP Tutorial | Python Classes and Objects | Python | Edureka Rewind -3,13-05-2022,0,0,0,May
119,LOD Expressions in Tableau | Level of Detail in Tableau | Tableau | Edureka |Tableau Rewind  - 4,13-05-2022,1276,0,1,May
120,Introduction to Kubernetes | What is Kubernetes | Edureka,13-05-2022,2307,0,1,May
121,Top 20 Tableau Tips and Tricks in 20 Minutes | Tableau Tutorial | Tableau  Edureka Rewind - 3,13-05-2022,1399,0,1,May
122,TabPy Tutorial | TabPy Tableau | How To Install TabPy | Tableau Training  | Edureka Rewind - 2,13-05-2022,2057,0,2,May
123,How to Use Sets in Tableau |Tableau Sets | Tableau Set Actions | Tableau Training | Edureka Rewind 1,13-05-2022,2474,0,1,May
124,Tableau Sets Tutorial For Beginners  | How to Use Sets in Tableau | Edureka | Tableau Live,13-05-2022,1411,0,1,May
125,Cyber security fundamentals | Understanding Cybersecurity Basics | Edureka Rewind - 7,13-05-2022,1815,0,1,May
126,SQL injection   | SQL Injection Attack Tutorial | Cybersecurity Training | Edureka Rewind-6,12-05-2022,1346,0,4,May
127,Cybersecurity & Digital Forensics Tutorial |  | Cybersecurity  | Edureka | Cybersecurity Rewind - 5,12-05-2022,858,0,1,May
128,How to become a Cybersecurity Engineer?  | Cybersecurity Training | Edureka Rewind - 4,12-05-2022,2239,0,4,May
129,PERT vs CPM| Difference between PERT and CPM| PMP | Edureka,12-05-2022,1951,0,1,May
130,What is Cryptography? | Introduction to Cryptography | Cryptography for Beginners | Edureka Rewind 1,12-05-2022,829,0,1,May
131,Cybersecurity Career Paths | Skills Required in Cybersecurity  | Cybersecurity | Edureka Rewind - 3,12-05-2022,1466,0,1,May
132,What Is Big Data | Big Data Explained | Big Data Hadoop Tutorial | Big Data | Edureka Rewind - 3,12-05-2022,1385,0,3,May
133,Cybersecurity Interview Questions and Answers | CyberSecurity Interview Tips| Edureka Rewind - 2,12-05-2022,2516,0,2,May
134,Big Data Engineer Skills | Big Data Engineer Job Description | Big Data  |  | Edureka  Rewind - 2,12-05-2022,2079,0,3,May
135,Ethical Hacking Tutorial Using Kali Linux in 60 Minutes  Ethical Hacking Tutorial | Edureka Live,12-05-2022,1546,0,0,May
136,Big Data Applications  | Big Data Analytics Use-Cases | Big Data Tutorial | Edureka Rewind - 7,12-05-2022,1509,0,1,May
137,Top Big Data Technologies  Big Data Tools Tutorial | Big Data Hadoop Training | Edureka Rewind - 6,11-05-2022,828,0,1,May
138,Big Data Tutorial For Beginners | What Is Big Data | Big Data Tutorial| Edureka Rewind - 4,11-05-2022,1330,0,1,May
139,Big Data Analytics | Big Data Analytics Use-Cases | Big Data Tutorial | Edureka Rewind - 4,11-05-2022,2158,0,3,May
140,Java Tutorial for Beginners | Java Programming Full Course | Edureka,11-05-2022,14186,0,3,May
141,Top 10 Reasons To Learn Hadoop in 2022 | Hadoop Certification | Hadoop Tutorial | Edureka​ Rewind -1,11-05-2022,1982,0,0,May
142,How To Become A Big Data Engineer? | Big Data Engineer Career Path | Edureka Live,11-05-2022,1583,0,2,May
143,Java Developer Skills| How to become a Java Developer | Java Career | Edureka | Java Rewind - 7,11-05-2022,1656,0,3,May
144,Java project for beginners | Java Open Source Projects | Java  Training | Edureka Rewind - 6,10-05-2022,1758,0,1,May
145,Arrays in Java  | Introduction to Java Arrays | Java Programming | Edureka | Java Rewind - 5,10-05-2022,1064,0,1,May
146,Data Structures Interview Questions | Java Training | Edureka Rewind-4,10-05-2022,1204,0,1,May
147,Waterfall Chart  in Tableau | How to Create a Waterfall Chart in Tableau | Edureka,10-05-2022,2316,0,1,May
148,Java String Programs | Java Projects for Beginners  | Java Certification  | Edureka Rewind - 3,10-05-2022,2987,0,2,May
149,Polymorphism in Java | Method Overloading & Overriding in Java | Java Tutorial | Edureka Rewind - 2,10-05-2022,1831,0,1,May
150,Inheritance in Java | Java Inheritance Explained | Types of Inheritance | Edureka Rewind - 1,10-05-2022,2513,0,3,May
151,Linked List in Java: All You Need to Know  | Data Structures Implementation | Edureka | Java Live,10-05-2022,1141,0,0,May
152,Top 10 Data Science Certifications  | Best Data Science Certifications | Edureka Rewind - 7,10-05-2022,2252,0,1,May
153,Data Science Project - Covid-19 Data Analysis | Python Training | Edureka | DS Rewind - 6,09-05-2022,14506,0,7,May
154,Climate Change Prediction using Time Series | Python Projects | Edureka | DS Rewind -  5,09-05-2022,1639,0,3,May
155,Data Science Future Scope | Data Science Career Trends in 2021 | Edureka | ML/DS  Rewind - 4,09-05-2022,2133,0,0,May
156,Azure DevOps Artifacts | Azure Artifacts In Azure DevOps | Using Azure DevOps Artifacts | Edureka,09-05-2022,3248,0,2,May
157,How to Become a Data Scientist | Data Scientist Skills | Data Science Training  | Edureka Rewind - 3,09-05-2022,2560,0,2,May
158,Top 10 Reasons to Learn Data Science in 2022 | Why Data Science? | Data Science | Edureka Rewind -2,09-05-2022,2572,0,1,May
159,Data Science Tutorial For Beginners | Introduction to Data Science | Data Science Rewind -1,09-05-2022,4824,0,1,May
160,AWS Certification Training | AWS Solutions Architect Certification Training | Edureka,09-05-2022,58515,0,1,May
161,Statistics and Probability for Data Science | Data Science | Edureka | DS Live,09-05-2022,1555,0,1,May
162,What is Software testing | Software Testing Tutorial for Beginners | Edureka| Testing Rewind - 7,09-05-2022,2221,0,2,May
163,what is manual testing?   | Manual Testing Tutorial For Beginners | Edureka| Testing Rewind - 6,08-05-2022,1093,0,2,May
164,Data Driven Framework In Selenium Webdriver  | Data Driven Testing | Selenium | Edureka Rewind - 5,08-05-2022,867,0,1,May
165,Selenium Interview Questions and Answers | Selenium Interview Preparation | Edureka Rewind - 4,08-05-2022,1508,0,1,May
166,Selenium Projects for Beginners in 60 Minutes  | Real-Time Selenium Projects  | Edureka,08-05-2022,3104,0,4,May
167,How to Become a Test Automation Engineer| Test Automation Engineer Skills & Roles| Edureka Rewind -2,08-05-2022,1706,0,1,May
168,What is Selenium  | Selenium Web driver Basics |  Selenium Training | Edureka Rewind  - 1,08-05-2022,2784,0,1,May
169,Machine Learning Roadmap | How to become a Machine Learning Engineer  | ML | Edureka Rewind - 7,08-05-2022,3625,0,1,May
170,Machine Learning Projects  | Machine Learning Project Ideas For Beginners | Edureka Rewind - 6,07-05-2022,1404,0,1,May
171,Random Forest in Machine Learning | Machine Learning Training | Edureka | Machine Learning Rewind- 5,07-05-2022,996,0,1,May
172,What is Machine Learning | Machine Learning Training | Edureka,07-05-2022,3367,0,1,May
173,Machine Learning Engineer Career Path | Machine Learning Tutorial | Edureka | ML Rewind,07-05-2022,1821,0,2,May
174,How to become a Machine Learning Engineer  | ML Engineer | Edureka,07-05-2022,1792,0,0,May
175,Project Procurement Management  | Project Management | PMP Certification | Edureka Rewind - 7,07-05-2022,1149,0,1,May
176,Project Resource Management | PMP Training | Edureka | PMP Rewind  - 6,06-05-2022,1075,0,1,May
177,PMP Time & Scope Management  | Project Time Management | PMP Training | Edureka | PMP Rewind - 5,06-05-2022,1311,0,1,May
178,Introduction to Project Cost Management  | Project Management | PMP® Training  | Edureka Rewind -4,06-05-2022,847,0,1,May
179,AWS Autoscaling  | Autoscaling and Load Balancing in AWS | AWS Training | Edureka Rewind -6,06-05-2022,1120,0,1,May
180,AWS Elastic Beanstalk Tutorial  | AWS Certification | AWS Tutorial | Edureka Rewind -  5,06-05-2022,909,0,1,May
181,AWS Config Tutorial  | AWS Certification Training | Amazon Web Services Tutorial | Edureka Rewind -7,06-05-2022,1270,0,1,May
182,Project Life Cycle | Phases of Project Management Life Cycle | PMP Certification Training  | Edureka,06-05-2022,2240,0,0,May
183,Top 30 Project Manager Interview Questions and Answers | PMP Certification| Edureka Rewind - 2,06-05-2022,3803,0,1,May
184,Project Risk Management | Project Management | PMP Certification | Edureka | PMP Rewind - 1,06-05-2022,2376,0,1,May
185,Fundamentals of Project Management  | PMP Tutorial | Edureka | PMP Live,06-05-2022,1391,0,0,May
186,What is AWS EMR | Introduction to Amazon EMR | Data Processing with AWS EMR  | Rewind - 3,05-05-2022,2501,0,0,May
187,AWS Solutions Architect Interview Questions and Answers   | AWS Training | Edureka | AWS Rewind - 2,05-05-2022,4402,0,1,May
188,AWS Jobs |  AWS Job Opportunities | AWS Certification & Careers | Edureka | AWS Rewind - 1,05-05-2022,2780,0,2,May
189,AWS S3 Bucket Tutorial  | AWS S3 Tutorial  | AWS Training | Edureka  Live,05-05-2022,3387,0,1,May
190,DevOps Roadmap  | How to Learn DevOps Step by Step | DevOps Tutorial | Edureka | DevOps Rewind - 7,05-05-2022,2016,0,3,May
191,Simple DevOps Projects - Part 2 | DevOps Projects | DevOps Training | Edureka Rewind - 6,04-05-2022,1498,0,1,May
192,Simple DevOps Projects - Part 1 | DevOps Projects for Beginners | DevOps Training | Edureka Rewind 5,04-05-2022,1499,0,3,May
193,Orchestrating DevOps Tools | Introduction To DevOps | DevOps Tools | Edureka | DevOps Rewind-4,04-05-2022,1398,0,1,May
194,Hosting a Website on Google Cloud Platform | Google Cloud Platform Website Hosting | Edureka,04-05-2022,2546,0,1,May
195,DevOps Lifecycle  | Introduction To DevOps | DevOps Tools | What is DevOps? | Edureka Rewind-3,04-05-2022,2014,0,0,May
196,Top 50 Git Interview Questions and Answers | Git Interview Preparation | DevOps Training | Rewind -2,04-05-2022,3002,0,1,May
197,DevOps Engineer | Devops Career | DevOps Skills | Devops Learning Path | DevOps| Edureka Rewind - 1,04-05-2022,3841,0,3,May
198,DevOps Release Management Tutorial | DevOps Tutorial | DevOps Training | Edureka | DevOps Live,04-05-2022,1290,0,3,May
199,Introduction to Azure IoT | Microsoft Azure IoT | Azure Tutorial | Edureka | Azure Rewind - 7,04-05-2022,2727,0,1,May
200,Azure Virtual Machine Tutorial| Azure VM Overview | Microsoft Azure Training | Azure Rewind -6,03-05-2022,1812,0,2,May
201,Azure Interview Questions | Azure QnA | Azure Training | Edureka | Azure Rewind - 5,03-05-2022,1277,0,1,May
202,Azure SQL Database Tutorial | Azure SQL Overview | Microsoft Azure Training | Edureka Rewind -4,03-05-2022,1350,0,1,May
203,Build a Pipeline on Microsoft Azure| Build a Pipeline on Azure | Edureka | Azure Rewind - 3,03-05-2022,3243,0,1,May
204,Introduction to Azure Portal | Edureka | Azure Rewind-2,03-05-2022,1831,0,1,May
205,Azure Boards Tutorial | Introduction To Azure Boards | Edureka | Azure Rewind -1,03-05-2022,2596,0,1,May
206,Moving On Premise Data to Azure Cloud  |  Azure Data Factory | | Microsoft Azure  | Edureka Live,03-05-2022,3691,0,1,May
207,RPA in various Domains | RPA Use Cases | Robotic Process Automation | Edureka | RPA Rewind - 7,03-05-2022,996,0,1,May
208,Web and Excel Automation | UiPath Examples | UiPath Training | Edureka | RPA Rewind - 6,02-05-2022,2192,0,6,May
209,Top 50 Automation Anywhere Interview Questions| Robotic Process Automation  | Edureka Rewind - 5,02-05-2022,1359,0,1,May
210,How to become an RPA Developer   | RPA Developer RoadMap | RPA Training | Edureka | RPA Rewind - 4,02-05-2022,1039,0,1,May
211,UiPath Orchestrator | UiPath Tutorials | RPA Tutorial For Beginners | Edureka | RPA Rewind - 3,02-05-2022,2877,0,1,May
212,RPA Projects in 60 Minutes | Automation Anywhere | Real-Life RPA Projects | Edureka | RPA Rewind - 2,02-05-2022,1836,0,1,May
213,UiPath Crash Course in 60 Minutes | UiPath Tool Tutorial | RPA Training | Edureka | Rewind - 1,02-05-2022,2552,0,1,May
214,Automation Anywhere IQ Bots | IQ Bots - Automation Anywhere | Automation  | Edureka Live,02-05-2022,922,0,1,May
215,Data Science Projects Tutorial | Data Science Projects In R | Data Science | Edureka Rewind - 7,02-05-2022,3023,0,1,May
216,How to Become a Data Scientist | Data Scientist Skills | Edureka | Data Science Rewind - 6,01-05-2022,3390,0,1,May
217,What Is Data Science? | Python Training | Edureka | ML/DS Rewind - 5,01-05-2022,2157,0,1,May
218,Hypothesis Testing Statistics | Hypothesis Testing | Data Science | Edureka Rewind - 4,01-05-2022,1117,0,2,May
219,SQL For Data Science Tutorial | Data Science Training | Edureka | DS Rewind - 3,01-05-2022,3272,0,0,May
220,Model Selection & Boosting  | Machine Learning Tutorial | Data science | Edureka | DS Rewind - 2,01-05-2022,2451,0,3,May
221,Statistics and Probability for DS | Data Science | Edureka | DS Rewind - 1,01-05-2022,3063,0,1,May
222,Salesforce Integration Tutorial  | Integrate Salesforce with Apps | Edureka | Salesforce Rewind - 7,01-05-2022,3612,0,1,May
223,How to become a Salesforce Administrator | Salesforce Training | Edureka | Salesforce Rewind - 6,30-04-2022,861,0,1,Apr
224,Salesforce Interview Questions and Answers| Salesforce | Edureka | Salesforce Rewind  - 5,30-04-2022,1041,0,1,Apr
225,Salesforce Sales Cloud Overview Demo  | Salesforce sales Cloud | Salesforce | Edureka Rewind - 4,30-04-2022,854,0,1,Apr
226,Security in Salesforce | Security Levels in Salesforce | Edureka | Salesforce Rewind,30-04-2022,1906,0,3,Apr
227,Salesforce Apex Tutorial for beginners | Apex Salesforce Tutorial | Edureka | Salesforce Rewind,30-04-2022,2401,0,1,Apr
228,Salesforce Marketing Cloud Training | Salesforce Training| Edureka | Salesforce | Rewind,30-04-2022,1146,0,3,Apr
229,Selenium Architecture | Selenium WebDriver Tutorial | Edureka | Testing Rewind -  6,30-04-2022,2042,0,1,Apr
230,Selenium Grid Tutorial For Beginners | Selenium Tutorial | Selenium Training | Edureka Rewind - 5,29-04-2022,1455,0,1,Apr
231,Actions class in Selenium WebDriver | Drag & Drop and Implicit Wait | Selenium | Edureka  Rewind - 4,29-04-2022,961,0,1,Apr
232,How to learn DevOps step by step   | DevOps Training | Edureka | DevOps Rewind - 4,29-04-2022,2790,0,0,Apr
233,Kubernetes Installation on CentOS 7 | Setup Kubernetes | DevOps Tutorial | Edureka,29-04-2022,1790,0,2,Apr
234,Page Object Model in Selenium Webdriver | Page Object Model with Page Factory | Edureka Rewind - 2,29-04-2022,1787,0,1,Apr
